Palabra,Conteo
sería,5
muy,10
costoso,1
reconocer,13
apremio,1
realidad,23
eso,17
compromiso,52
especialmente,7
viven,9
marginación,7
sólo,49
significa,8
diferentes,6
hacerlas,2
ámbito,10
superado,1
improductivas,1
programas,24
enfoque,4
moderniza,1
formas,3
organización,3
otorgando,1
prioridad,4
capacidades,9
generación,14
aprovechado,1
ampliado,4
mejorado,4
exitosos,1
anteriores,4
involucrando,1
beneficiados,2
diseño,4
políticas,41
hasta,18
evaluación,5
impacto,4
eficiencia,6
convencidos,2
combate,13
reclama,9
beneficiarios,4
limitaciones,1
presupuestales,2
tuvimos,1
aumentado,7
destinado,6
términos,21
reales,20
respecto,9
incorporando,1
763,1
familias,30
adicionales,3
progresa,4
permitirá,4
atender,14
total,8
término,3
esto,20
24,1
sociales,35
27,5
recibido,5
estímulo,2
apoyo,25
directo,2
enfrentar,10
esfuerzo,27
dignamente,1
equivale,5
población,14
18,2
rurales,7
destinando,2
28,3
recursos,39
pasado,35
abasto,4
leche,6
distribución,7
desayunos,1
escolares,2
despensas,1
mensuales,2
tortilla,1
apoyando,5
directamente,4
alimentación,3
abrimos,3
nuevas,24
tiendas,2
diconsa,2
superando,1
meta,7
programada,1
además,17
identificado,1
250,2
micro,7
regiones,3
extrema,3
especial,7
fondos,2
financiamiento,10
viviendas,1
permitirán,1
llegar,5
360,1
créditos,13
programa,37
vivienda,17
ahorro,14
otorgar,5
casi,11
subsidio,2
frente,19
33,1
930,2
podrán,7
tener,10
hogar,1
incorporar,1
plenamente,11
marginados,3
marginadas,1
proceso,30
tal,2
manera,37
nivel,12
dependa,1
asistenciales,1
reforma,27
educativa,6
propósito,9
incrementar,4
cantidad,5
calidad,35
educación,52
concebimos,2
laica,2
gratuita,3
necesario,19
abatir,3
concurrentes,1
abandono,2
prematuro,1
estudios,2
autorizado,1
presupuesto,19
251,1
305,1
cifra,10
superior,20
significativamente,1
cobertura,12
becas,8
través,25
distintos,9
apoyará,1
estudiantes,4
mayores,12
carencias,7
atendiendo,3
becarios,1
primaria,3
secundaria,2
ahora,46
media,5
bachillerato,2
100,6
jóvenes,13
continuar,6
superiores,5
universidad,5
asignación,2
estímulos,5
mérito,4
necesidad,7
únicos,1
criterios,2
abierto,4
puerta,2
tengan,6
oportunidad,23
superándose,1
allá,4
escuela,5
sufrido,1
varias,4
pruebas,1
salido,1
vigorizada,1
reitero,8
seguirá,4
siendo,11
absolutamente,3
universitaria,1
apoyarlas,1
cultural,1
coloca,3
centro,6
proyectos,15
ciudadanización,2
descentralización,1
ejes,3
garantizaremos,1
actividades,6
culturales,2
lleguen,1
rincones,3
trascendente,1
labor,6
magisterio,2
encontrará,1
actualización,1
capacitación,2
recuperando,3
salarios,10
saludo,1
cariñoso,1
aplauso,1
entusiasta,1
maestra,1
maestro,1
cuentan,7
reconocimiento,22
trabajando,16
efectiva,3
mujer,2
merece,4
contando,2
abrir,6
resisten,1
dejarla,1
pasar,5
emprendiendo,1
cruzada,1
garantizar,18
acceso,21
universal,6
salud,41
ésta,12
particularmente,4
zonas,6
habitante,1
aumentó,3
tienen,19
paquete,2
básico,3
servicios,20
habrán,4
proporcionado,1
necesitadas,1
22,5
consultas,1
anterior,12
injusticia,2
realizando,1
piense,3
generaciones,6
mañana,6
pueden,11
hablar,7
decisión,17
fundamental,21
cuidado,3
medio,20
ambiente,8
asunto,3
secretaría,14
énfasis,1
materia,20
puesto,10
protección,18
restauración,1
agua,9
bosque,1
cuales,7
tema,6
seguridad,49
objetivos,7
económico,21
ser,52
cumplidos,1
hombres,12
mujeres,23
campo,28
mexicano,20
hecho,22
cuyos,3
resultados,25
conocimiento,4
apoyos,17
procampo,5
entregan,1
adelantado,1
antes,13
sembrar,1
cosecha,1
fecha,6
entregado,7
doble,5
mismo,24
periodo,13
comercialización,2
otorgado,4
121,1
lapso,3
final,5
habrá,11
propuesto,2
soberanía,12
iniciativa,14
capitalizar,1
inyectaría,1
asimismo,7
transformando,2
banrural,1
banco,7
productores,14
dar,20
certeza,4
jurídica,7
tenencia,1
tierra,4
trabajamos,6
coordinada,1
interesan,1
genuinamente,1
rural,9
resultan,1
insuficientes,6
rezagos,14
acumulados,1
décadas,10
sepamos,1
distinguir,1
provienen,1
atraso,1
necesidades,11
coyunturales,1
futuro,37
resolver,8
conjunta,3
consejo,8
agropecuario,7
precios,2
valor,18
agregado,1
apoyar,6
sector,31
mediante,11
fórmulas,3
mediación,1
permitan,11
construir,23
tenemos,56
nosotros,13
edificar,4
humano,11
justo,11
capaz,5
mirar,5
sufren,2
carga,4
inaceptable,1
pesa,1
agravio,2
padecen,3
entera,6
debemos,40
obstáculo,1
falta,12
municipios,21
mejorar,8
cumpliendo,3
presentado,3
nueva,32
hacienda,5
distributiva,1
ella,13
conjuntamente,1
expreso,9
fuerzas,24
concurren,1
esmerado,1
trabajo,32
debate,11
iniciativas,11
forman,3
aprobadas,8
si,30
contemplamos,1
ancestrales,2
hablado,3
incapacidad,2
presupuestal,3
podremos,5
ver,6
claramente,4
consecuencias,7
contar,4
hacendaria,6
permitir,4
resten,1
viabilidad,9
puede,25
modificar,2
perder,4
ponernos,1
acuerdo,36
dudas,1
dicha,1
acelerar,4
riqueza,6
seguido,2
propuestas,11
gobernadores,4
sectores,4
encontremos,2
convergencia,7
ningún,8
completo,2
debido,2
demandas,16
nuestras,44
hermanas,2
hermanos,5
indígenas,28
moral,8
podrá,6
excluimos,1
escuchamos,1
reconocemos,4
espacio,9
digno,5
cielos,1
apoyado,3
apoyaré,2
movimiento,3
busque,1
violentas,1
premisa,2
muestras,1
voluntad,25
ezln,2
presos,2
origen,2
zapatista,1
puestos,2
ejército,7
replegado,1
demandadas,1
finalmente,3
aprobó,4
constitucional,22
inversión,35
apremiantes,2
comunidades,15
pendientes,6
reformas,27
numerosas,1
secundarias,1
adecuarse,1
reciente,1
modificaciones,3
correspondan,1
constituciones,1
cuerpos,4
normativos,1
integrar,2
jurídicamente,1
atendidas,1
nombre,5
pluralismo,3
existen,5
voces,3
escuchar,5
mientras,14
tanto,8
toca,3
aceptar,4
constituyente,2
comprendo,1
sentir,3
locales,14
llevar,3
respetuosa,2
solidaria,3
ejecutivos,1
estatales,16
municipales,7
colaboración,8
construyendo,8
equilibrada,2
dentro,10
pacto,6
colores,1
tampoco,11
soluciones,8
quedado,2
reflejado,4
fiscal,13
peso,4
recaudado,1
60,2
centavos,4
administrados,2
gastados,2
invertidos,3
federativas,6
ocho,5
transferido,1
monto,6
282,1
recurso,1
llegado,6
tiempo,32
obligación,10
marca,3
seguiremos,11
avanzando,6
decididamente,2
está,45
sumamente,1
vinculada,1
motores,1
mundial,11
coincidentemente,1
apagados,1
gracias,30
económica,29
confianza,18
inversionistas,2
nacionales,16
internacionales,19
podido,5
amortiguar,2
impactos,2
negativos,2
otras,7
épocas,2
derrumbe,1
contamos,3
bases,9
sortear,1
exitosamente,1
contagio,1
crisis,7
financieras,4
afectan,2
países,15
recuperación,9
ordenada,5
experimenta,1
tasas,10
inflación,11
vistas,1
1970,1
esperada,2
directa,8
rebasa,2
resto,3
menor,7
refleja,7
interés,30
mínimo,1
solidez,6
moneda,2
déficits,1
moderados,1
financiados,1
extranjera,4
reservas,8
activos,4
agosto,8
ubicaron,1
39,1
dólares,12
reducción,5
adquisitivo,6
resultado,10
aumento,3
contractuales,1
disminución,3
logrado,12
manufacturero,2
junio,6
altos,10
mes,4
indicadores,2
representan,1
invaluables,1
curso,2
estable,6
temprana,2
robusta,1
factores,3
positivos,1
generan,1
desempleo,4
cerca,8
afectados,1
moderar,1
arrancamos,1
fortalecer,23
tres,26
vertientes,2
primera,14
competitividad,12
aparato,1
productivo,1
eliminando,2
trabas,1
impidan,1
crear,9
empresas,20
generar,9
empleos,20
ejecutando,1
oportunamente,1
elevando,1
pequeña,5
mediana,5
empresa,3
segundo,10
mercado,18
interno,16
erradicando,1
contrabando,4
combatiendo,3
competencia,11
desleal,1
desplaza,1
productos,6
estimulando,1
compras,3
tercer,9
mantener,4
disciplina,3
aplicando,1
medidas,5
austeridad,2
reclamos,3
sentidos,2
encuentra,7
inseguridad,17
freno,1
sabe,1
ciudadanía,30
conjunto,9
resiente,1
niveles,11
criminalidad,2
fuerza,22
poderosas,1
agrupaciones,1
crimen,7
organizado,5
urgencia,5
batalla,4
decisiva,4
delincuencia,11
recuperar,6
cerrando,1
filas,2
marco,26
promovimos,3
creación,13
coordinando,1
unificando,1
gobiernos,25
renglón,1
90,3
delitos,10
fuero,4
común,13
reformando,1
totalmente,1
procuraduría,7
general,17
anunciaremos,1
agencia,4
investigación,7
integrará,2
policía,5
narcotráfico,6
junto,12
secretarías,4
defensa,15
marina,3
obtenido,3
importantes,15
aseguraron,1
340,2
psicotrópicos,2
erradicaron,1
17,6
781,1
hectáreas,4
sembradíos,1
marihuana,1
amapola,1
representa,7
incremento,10
12,9
crédito,8
coordinación,9
contraloría,3
administrativo,2
incautó,1
bodegas,2
comerciales,3
toneladas,2
mercancía,1
estas,16
tareas,7
divisa,2
inherente,1
demanda,15
desempeño,8
aérea,5
armada,6
diversos,9
ámbitos,5
sé,7
lastimada,1
drama,1
aceptaré,1
rinda,1
tentaciones,2
acto,11
presume,1
irregular,1
debidamente,4
investigado,1
actúa,1
rigor,3
haciendo,2
avanzar,17
dejó,1
convertirse,3
esos,4
llevado,2
cabo,3
4,6
320,1
auditorías,4
detectándose,1
irregularidades,1
permitido,12
246,1
puso,5
corto,2
plazo,4
control,4
clima,3
permanecer,2
confinado,1
misterio,1
donde,22
tejen,1
redes,5
principio,9
credenciales,1
impecables,1
voz,9
condiciones,18
escenario,5
desempeñar,2
papel,10
activo,1
miembros,9
comunidad,6
internacional,17
encabezado,1
promoción,4
comercio,10
flujo,3
ascendió,2
774,1
ubica,1
históricos,7
ingresos,10
derivados,1
entrada,3
turistas,2
extranjeros,2
registraron,2
enero,5
visitaron,1
representaron,2
derrama,1
702,1
líneas,2
cooperación,13
europa,2
asia,1
américa,14
latina,5
ampliar,9
perspectiva,2
canadá,1
planteado,2
adoptar,2
mecanismos,8
financieros,6
esquemas,3
promuevan,3
avanzadas,1
irrevocable,1
habitan,1
fuera,5
migratorio,5
legalizar,1
estancia,1
radican,1
documentación,1
legal,8
aquellos,3
buscan,1
contactos,1
bilaterales,1
profundizado,1
visitas,1
presidentes,3
chile,1
españa,1
ministro,3
reino,1
unido,2
refrendan,1
adquirido,2
interlocutor,3
demás,4
amigas,1
amigos,2
maravilloso,1
fronteras,3
queridos,1
paisanos,3
depositado,2
anhelos,5
piden,1
razón,9
les,7
agradezco,4
entrar,1
casa,6
decirle,1
mencionado,1
avances,9
digo,1
olvidado,3
lado,6
tus,1
aspiraciones,5
supuesto,1
compromisos,12
mucho,12
reconozco,6
somos,8
pretendemos,2
infalibles,1
rectificado,1
sabremos,1
rectificar,3
velocidad,1
profundidad,5
reclaman,5
obstáculos,3
habiendo,1
sabré,1
cumplirles,1
ruta,6
decidida,5
instancias,4
dialogan,1
actúan,2
discusión,4
cambios,11
plural,15
respetando,2
maneja,1
eficacia,12
desaceleración,2
fortalecen,6
margen,3
espíritu,8
triunfalismo,1
mundo,15
reconoce,3
respetado,4
respetable,1
fruto,4
convertidas,1
creando,2
jurídico,6
permita,6
desafíos,11
desatendidas,1
necesita,8
seguir,9
aportación,3
milenio,2
recordada,1
contribuyó,4
sentó,1
reto,11
alcanzar,16
esenciales,6
ofrezca,1
visión,21
presente,13
agotando,1
ciclos,1
vitales,2
imperativo,4
definir,2
vienen,1
relevo,2
democratización,3
deberá,2
competitivo,1
asimilar,1
creciente,4
derivada,1
fundada,1
requerimos,7
impulsar,11
laboral,7
mutuo,2
trabajadores,16
empresarios,3
estimule,1
productividad,6
sobretodo,2
salarial,2
estructurales,6
referentes,1
energía,12
telecomunicaciones,4
aumentar,1
verdadera,4
implica,7
empeño,3
colectivo,7
reconstrucción,1
institucional,16
pauta,3
avance,9
consistente,1
cristaliza,1
actual,4
desarrollarse,1
propuesta,6
concertada,1
urge,1
explícito,2
defina,1
grandes,14
estrategia,10
legitimada,1
nada,3
aprecia,1
esencial,14
certidumbre,9
aguardan,1
actitudes,1
deberán,1
unidad,17
precisamente,3
apostarle,1
vientos,1
coincidan,2
impulso,4
aun,5
provengan,1
rumbos,1
urnas,4
irrenunciables,1
nuevamente,1
convertir,2
palanca,1
estratégica,2
modernización,8
pueblo,24
combativo,1
conquistó,1
independencia,4
volvió,1
itinerante,1
realizó,1
revolución,2
contenido,4
xx,3
supo,1
coronar,1
hazaña,1
ejemplar,4
era,8
partida,2
ciclo,7
genuina,4
aspiración,2
debe,31
quedar,1
hermoso,1
sueño,2
práctica,4
compartida,6
comprometidos,2
comenzado,1
basada,3
estricto,10
toma,5
manos,14
esperanza,7
culminación,2
democrático,25
próspero,2
hombros,1
recae,1
grave,8
inaugurar,1
transformación,7
trabajemos,1
recorramos,1
trecho,1
faltante,1
poco,4
llega,3
base,10
obligados,4
verdaderos,2
enemigos,2
manifestó,1
torre,1
babel,1
esperan,2
darse,1
armonía,4
barco,1
importar,1
bandera,1
quien,10
enarbole,1
males,1
lastiman,2
debilitan,1
vigentes,2
experiencias,1
tradición,1
liberal,1
próceres,1
crearon,2
estructura,6
lucharon,1
división,5
entendimiento,6
albores,1
estar,8
altura,6
legado,3
sólida,7
personal,6
colectiva,6
renovada,1
conciencia,11
cívica,1
continuemos,1
actuando,1
tránsito,3
otros,15
pronto,1
llegarán,1
vale,2
pena,6
luchando,1
aflojemos,1
paso,13
sigamos,3
vislumbrando,1
optimismo,2
trinchera,1
tarea,23
aportemos,1
regateos,1
sumemos,1
buena,5
fe,3
haré,5
seguro,15
hijos,4
habremos,6
contestación,5
presidenta,3
beatriz,3
elena,1
paredes,3
rangel,3
señor,15
suprema,15
corte,15
senado,6
distinguen,1
presencia,5
distrito,3
estimados,1
parlamento,2
andino,1
centroamericano,1
copa,1
parlatino,1
fipa,1
distinguidos,2
invitados,2
especiales,3
compañeras,4
compañeros,5
informar,1
propiciar,6
subordinar,1
actos,5
popular,14
representada,3
ceremonia,3
formulario,1
ritual,1
culto,1
personalidad,1
constituirse,1
encuentro,3
dos,18
representación,7
fomentan,2
conducta,2
republicana,2
aprecio,2
promueven,4
comprensión,2
hechos,12
garantizando,1
desviaciones,1
yerros,1
sean,9
revisados,1
encauzar,3
rectificación,1
presenta,5
cámaras,10
legítima,3
constituida,1
atribución,1
formular,2
dispone,3
facultad,2
fiscalizar,2
antagonismos,2
lealtades,2
desplieguen,1
plenitud,2
aquilate,1
aprecie,1
trascendencia,5
disponga,1
vigoroso,1
actuante,1
señaló,1
norberto,1
bobbio,1
soberano,5
surgir,1
dominio,1
totalidad,4
partir,7
compuesta,1
partes,3
cambiantes,1
efímeras,2
relaciones,4
ellas,12
idea,4
polis,1
griega,1
íntimamente,1
contraste,2
mantiene,2
unidas,8
estarían,1
perpetuo,2
asegura,3
condere,1
leges,1
cita,3
integrantes,5
lviii,2
pretendido,1
circunstancia,2
inmersos,1
diputados,13
senadores,9
diversas,6
conforman,1
aptitud,4
vocación,12
permitió,3
ostentan,1
mayoría,12
acuerdos,43
necesarios,5
35,3
32,4
fueran,2
concurrencia,5
representados,2
simple,5
31,2
dictámenes,1
minutas,1
29,4
contaron,1
voto,9
unánime,3
igual,5
congresistas,1
analizado,2
caso,8
ratificado,1
nombramientos,1
embajadores,1
propuestos,2
estudiaron,1
aprobaron,3
procedente,1
ascensos,1
mandos,2
militares,1
pleno,10
profesionalismo,2
institucionalidad,3
ambos,6
garantía,5
integridad,9
dieron,1
innovadoras,3
transparentar,2
escrutinio,3
realizadas,4
fobaproa,1
buscar,4
legislativa,4
veto,2
legislación,3
disponer,1
ordenamiento,2
reactivación,1
interponer,1
controversia,5
juicio,3
exceso,1
reglamentaria,1
última,3
reflejar,1
saludable,2
evidencia,1
potestad,1
dignidad,15
presentadas,1
prosperaran,1
sesiones,6
adiciones,1
pertinentes,2
afirmo,2
categóricamente,1
seriedad,3
ejerciendo,1
facultades,6
constitucionales,4
obstruir,1
función,12
obstaculizar,2
afanes,1
protagónicos,1
titular,6
otro,9
enturbiar,1
vigencia,8
soporte,1
convicción,11
comisiones,2
legislativas,2
sopesar,1
mesuradamente,1
generado,2
polémica,2
hacendaría,1
profundización,1
oído,1
rumor,2
gente,7
observación,2
legislar,2
cala,1
hondo,1
porvenir,8
corresponda,2
fiel,3
conviene,1
expresiones,2
colectivas,4
saber,2
representatividad,1
interlocución,1
proyectar,1
presiones,2
descalificaciones,2
precipiten,1
existe,14
utilidad,2
resulta,5
entretejido,1
personalidades,1
biografías,1
militantes,1
distintas,5
opciones,3
erradicar,4
compartimos,4
amplio,9
circunscribe,1
contienda,2
existir,1
desenvolvimiento,1
ingreso,15
propicien,3
generalicen,1
vasto,2
sustentado,1
formación,3
allí,1
respaldo,2
universidades,5
públicas,9
erradique,1
exclusiones,2
elimine,1
abismales,1
ecológica,1
humanos,27
entorno,6
realizarse,1
espacios,15
convivencia,5
familiar,2
esté,4
amenazada,1
sucumbir,1
torbellino,1
erosionado,1
organizada,1
saludamos,2
decomisos,1
captura,1
narcotraficantes,4
referencia,2
conceptualización,1
proyecte,1
representativas,1
consolidadas,3
soberana,1
multiplicar,2
vínculos,2
exterior,12
nutrido,1
raigambre,1
latinoamericana,2
estratégico,3
juega,1
continente,1
orbe,2
subrayo,1
migratorios,1
prioritaria,3
representadas,3
perspectivas,3
garantice,4
empleo,6
remuneración,1
millares,1
compatriotas,3
nutre,2
vínculo,1
robustece,1
contacto,1
ocasiones,2
golpea,1
dureza,1
diputada,1
acontecer,1
considero,2
ineludible,2
expresar,7
preocupación,5
cercano,2
cero,1
va,9
pérdida,1
permanentes,3
baja,2
producción,4
manufacturera,1
caída,2
industria,4
consignados,1
comisión,9
expresaron,1
datos,5
oficiales,1
estimaban,1
preocupante,1
programable,2
llevan,1
revisar,5
puntualmente,3
desahogo,1
planteada,1
embargo,20
subrayar,1
escuchado,3
plantean,1
manifestado,2
carreteras,7
expresando,1
evidentemente,1
refiero,2
cierto,5
circunstancias,7
interdependencia,1
globalidad,1
inciden,1
mencionados,1
llamado,3
apliquen,1
perentorias,1
contengan,1
deterioro,5
reviertan,1
situación,7
dramática,1
asoma,1
duda,3
intenso,3
actividad,5
disparidades,1
enfrentan,2
pequeños,3
medianos,2
parecería,1
ortodoxia,1
acumular,1
tesorería,1
cuidar,1
rigurosamente,1
variables,2
macroeconómicas,1
insuficiente,3
temas,5
profundizaremos,1
ópticas,1
segura,5
búsqueda,6
respuestas,5
acordes,1
dinamizar,3
depende,2
pues,5
frustración,1
desesperación,1
pone,5
tensión,2
sucesivas,2
analizaremos,2
pormenores,1
convocando,1
secretarios,7
despacho,1
requiera,1
precisar,1
emitiremos,1
opinión,3
insuficiencia,2
aplicadas,1
dirigido,2
magia,1
conocen,2
sorprenderse,1
miembro,2
cuerpo,3
colegiado,1
manifestara,1
enfáticamente,1
extrañeza,1
independientemente,4
tecnológica,2
soy,3
palabras,2
comprendiendo,1
intenciones,2
institución,1
aprendido,1
vivido,2
distinguido,1
desmitificado,1
cúmulo,1
ofertas,2
veredicto,1
gobernante,1
hombre,3
evalúa,1
propósitos,3
significan,1
califican,1
formamos,2
continuo,1
despliega,1
30,6
siglos,1
región,3
volcánica,1
luminosa,1
paradoja,2
herida,1
nadie,12
grupo,6
facción,1
apropiársela,1
podrían,1
negar,3
concurso,3
edificaron,1
teñido,1
contrastes,1
movilidad,2
territorio,4
pujanza,1
generoso,2
creativo,1
pudo,2
arribar,2
grande,3
hispanoparlantes,1
decimotercera,1
octavo,1
exportador,1
socio,1
comercial,3
planeta,2
educativo,8
dinámico,3
mantuvo,1
transformarse,2
pobres,4
